code,name,material,fragm,image_path,width,height,aspect,mpx,brightness,sharpness
М102-2012-1-0494,Изразец,Керамика,Фрагмент,cu_data/dataset/М102-2012-1-0494_orig.jpg,3738,3587,1.0420964594368554,13.408206,229.39552427819203,47.5297641544322
М102-2012-1-0496,Изразец,Керамика,Фрагмент,cu_data/dataset/М102-2012-1-0496_orig.jpg,5909,3328,1.7755408653846154,19.665152,230.0575174637179,44.919473104069546
М102-2012-1-0529,Изразец,Керамика,Фрагмент,cu_data/dataset/М102-2012-1-0529_orig.jpg,5069,5238,0.9677357770141275,26.551422,231.4432624989602,55.0186697476933
М102-2012-1-0585,Тарелка,Фаянс,Фрагмент,cu_data/dataset/М102-2012-1-0585_orig.jpg,3984,5176,0.7697063369397218,20.621184,230.55697589107072,45.53164803638648
М102-2012-1-0603,Изразец,Керамика,Фрагмент,cu_data/dataset/М102-2012-1-0603_orig.jpg,4168,5632,0.7400568181818182,23.474176,231.46150924885853,51.00022048584216
М102-2012-1-0611,Изразец,Керамика,Фрагмент,cu_data/dataset/М102-2012-1-0611_orig.jpg,7992,4248,1.88135593220339,33.950016,217.27429739650196,60.17312574741453
М102-2012-1-0691,Миска,Керамика,Фрагмент,cu_data/dataset/М102-2012-1-0691_orig.jpg,8736,3144,2.7786259541984735,27.465984,205.78854624930486,76.59833710575617
М102-2012-1-0752,Тарелка,Керамика,Фрагмент,cu_data/dataset/М102-2012-1-0752_orig.jpg,3624,6741,0.5376056964842012,24.429384,227.92672666927118,45.030040856008846
М102-2012-1-0827,Тарелка,Фаянс,Фрагмент,cu_data/dataset/М102-2012-1-0827_orig.jpg,2154,4524,0.4761273209549072,9.744696,237.810691511909,44.27419187851124
М102-2012-1-0833,Тарелка,Фаянс,Фрагмент,cu_data/dataset/М102-2012-1-0833_orig.jpg,2512,5712,0.43977591036414565,14.348544,227.9323188006625,50.48264570445292
М102-2012-1-0837,Тарелка,Фаянс,Фрагмент,cu_data/dataset/М102-2012-1-0837_orig.jpg,4320,5736,0.7531380753138075,24.77952,240.34305539413194,38.48130188366738
М102-2012-1-0843,Тарелка,Фаянс,Фрагмент,cu_data/dataset/М102-2012-1-0843_orig.jpg,3976,6040,0.6582781456953642,24.01504,233.2505662562572,47.63292645429874
М102-2012-1-0847,Тарелка,Фаянс,Фрагмент,cu_data/dataset/М102-2012-1-0847_orig.jpg,2792,6784,0.4115566037735849,18.940928,231.50828792549132,44.0245943461997
М102-2012-1-0851,Тарелка,Фаянс,Фрагмент,cu_data/dataset/М102-2012-1-0851_orig.jpg,3624,5208,0.695852534562212,18.873792,236.98270042042074,42.1777432306042
М102-2012-1-0942,Миска,Керамика,Фрагмент,cu_data/dataset/М102-2012-1-0942_orig.jpg,8160,4720,1.728813559322034,38.5152,224.42441274267478,54.69185341356615
М102-2012-1-0949,Изразец,Керамика,Фрагмент,cu_data/dataset/М102-2012-1-0949_orig.jpg,6084,7533,0.8076463560334528,45.830772,229.64650202706602,52.640796605687086
М102-2012-1-1008,Изразец,Керамика,Фрагмент,cu_data/dataset/М102-2012-1-1008_orig.jpg,8496,6321,1.3440911248220218,53.703216,223.7620101621723,58.944039026520834
М102-2012-2-0538,Блюдце,Фарфор,Фрагмент,cu_data/dataset/М102-2012-2-0538_orig.jpg,3724,2140,1.7401869158878505,7.96936,225.9400352516806,59.058079410553944
М102-2012-2-0543,Блюдце,Фарфор,Фрагмент,cu_data/dataset/М102-2012-2-0543_orig.jpg,7676,2679,2.8652482269503547,20.564004,230.48570858736136,44.81472706721735
М102-2012-2-1028,Тарелка,Фаянс,Фрагмент,cu_data/dataset/М102-2012-2-1028_orig.jpg,3276,7545,0.4341948310139165,24.71742,224.71448334818115,48.6679113298543
М102-2012-2-1068,Плитка,Каменная масса,Фрагмент,cu_data/dataset/М102-2012-2-1068_orig.jpg,6791,2654,2.558779201205727,18.023314,236.589224970872,34.44168335182397
М102-2012-2-1086,Тарелка,Фаянс,Фрагмент,cu_data/dataset/М102-2012-2-1086_orig.jpg,6587,3184,2.0687814070351758,20.973008,235.9579190866025,40.881118224181
М102-2012-2-1095,Изразец,Керамика,Фрагмент,cu_data/dataset/М102-2012-2-1095_orig.jpg,5195,2457,2.1143671143671146,12.764115,226.67314412319226,48.641786219131774
М102-2012-2-1121,Блюдце,Фарфор,Фрагмент,cu_data/dataset/М102-2012-2-1121_orig.jpg,4417,1817,2.430930104567969,8.025689,242.13535701836108,31.29403133032396
М102-2012-2-1123,Блюдце,Фарфор,Фрагмент,cu_data/dataset/М102-2012-2-1123_orig.jpg,4498,2020,2.226732673267327,9.08596,238.30527696944884,40.99308929631734
М102-2012-2-1125,Крышка,Фарфор,Фрагмент,cu_data/dataset/М102-2012-2-1125_orig.jpg,3809,1912,1.9921548117154813,7.282808,244.74026044166848,35.44665336564976
М102-2012-2-1166,Блюдце,Фарфор,Фрагмент,cu_data/dataset/М102-2012-2-1166_orig.jpg,3954,2876,1.3748261474269818,11.371704,245.77260356055697,24.482294968630182
М102-2012-2-1181,Плитка,Керамика,Фрагмент,cu_data/dataset/М102-2012-2-1181_orig.jpg,5471,3777,1.4485041037860735,20.663967,213.1723953101551,52.25304409492196
М102-2012-2-1248,Блюдце,Фарфор,Фрагмент,cu_data/dataset/М102-2012-2-1248_orig.jpg,3456,1894,1.8247096092925026,6.545664,242.66726609655902,36.06353615951815
М102-2012-2-1264,Тарелка,Фаянс,Фрагмент,cu_data/dataset/М102-2012-2-1264_orig.jpg,4296,2700,1.5911111111111111,11.5992,220.16623399314895,65.823649018469
М102-2012-2-1265,Тарелка,Фаянс,Фрагмент,cu_data/dataset/М102-2012-2-1265_orig.jpg,8824,3256,2.71007371007371,28.730944,216.75884923934277,65.69117085069446
